BioSample	BioSampleModel	DATASTORE_provider	DATASTORE_region	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	description	disease_stat	env_biome	env_feature	env_material	genotype	geo_loc_name	host	host_age	host_color	host_diet	host_sex	host_subject_id	host_taxid	host_tot_mass	lat_lon	lib_const_meth	nucl_acid_amp	nucl_acid_ext	perturbation	samp_mat_process	samp_size	samp_store_temp	sample_title	seq_methods	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	organism	target_gene	target_subfragment
SAMN11391875	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673602	M4D11_S102_L001_R1_001.fastq.gz.M4D11	2	1	SRR8887816	SRS4616015	M4D11	2009-11-10	"Male 4, Day 11"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	32	black	Irradiated Lab Diet 5053	male	M4	10090	14.8	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M4D11	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392110	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673600	F4D11_S228_L001_R1_001.fastq.gz.F4D11	2	1	SRR8887818	SRS4615785	F4D11	2009-11-10	"Female 4, Day 11"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	32	black	Irradiated Lab Diet 5053	female	F4	10090	16.1	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F4D11	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391854	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673592	M4D364_S123_L001_R1_001.fastq.gz.M4D364	2	1	SRR8887826	SRS4615767	M4D364	2010-10-29	"Male 4, Day 364"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	385	black	Irradiated Lab Diet 5053	male	M4	10090	29.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M4D364	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392096	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673590	F4D17_S231_L001_R1_001.fastq.gz.F4D17	2	1	SRR8887828	SRS4616062	F4D17	2009-11-16	"Female 4, Day 17"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	38	black	Irradiated Lab Diet 5053	female	F4	10090	17.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F4D17	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391967	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673588	M1D1_S2_L001_R1_001.fastq.gz.M1D1	3	1	SRR8887830	SRS4616088	M1D1	2009-10-31	"Male 1, Day 1"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	22	black	Irradiated Lab Diet 5053	male	M1	10090	9.9	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M1D1	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392061	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673587	F5D25_S264_L001_R1_001.fastq.gz.F5D25	2	1	SRR8887831	SRS4615939	F5D25	2009-11-24	"Female 5, Day 25"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	46	black	Irradiated Lab Diet 5053	female	F5	10090	15.3	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F5D25	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391827	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673586	M5D19_S138_L001_R1_001.fastq.gz.M5D19	9	5	SRR8887832	SRS4616107	M5D19	2009-11-18	"Male 5, Day 19"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	40	black	Irradiated Lab Diet 5053	male	M5	10090	17.7	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M5D19	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392015	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673584	F7D124_S331_L001_R1_001.fastq.gz.F7D124	10	6	SRR8887834	SRS4615877	F7D124	2010-03-03	"Female 7, Day 124"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	145	black	Irradiated Lab Diet 5053	female	F7	10090	19.5	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F7D124	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11392094	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673583	F4D2_S220_L001_R1_001.fastq.gz.F4D2	2	1	SRR8887835	SRS4615856	F4D2	2009-11-01	"Female 4, Day 2"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	23	black	Irradiated Lab Diet 5053	female	F4	10090	10.6	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	F4D2	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
SAMN11391912	MIMARKS.survey.host-associated.4.0	ncbi		SRX5673582	M2D7_S37_L001_R1_001.fastq.gz.M2D7	3	2	SRR8887836	SRS4616034	M2D7	2009-11-06	"Male 2, Day 7"	none	fecal material	fecal material	fecal material	C57BL/6 WT	USA:Michigan:Ann Arbor	Mus musculus	28	black	Irradiated Lab Diet 5053	male	M2	10090	13.8	42.282026 N 83.733850 W	amplicon	https://aem.asm.org/content/79/17/5112	Roche MagnaPure	none	suspended in protease inhibitor	single fecal pellet	-80	M2D7	Kozich MISeq 2x250 V4	AMPLICON	501	PRJNA531928	MOTHUR	public	sra	0	454 GS	PAIRED	PCR	METAGENOMIC	2019-04-12	mouse gut metagenome	LS454	2019-04-12	SRP192323	mouse gut metagenome	16S rRNA	V4
