AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	misc_param	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	geo_loc_name	host	isolation_source	lat_lon
253	SAMN05943343	contigs sra	ncbi sra-sos	sra-sos.public	SRX2319438	L4T1	2016-11-04	9	6	2016-11-09	SRR4826010	SRS1775660	L4T1	09-Oct-2014	PlotLocation:L4	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943342	contigs sra	ncbi sra-sos	sra-sos.public	SRX2319439	L3T1	2016-11-04	7	4	2016-11-09	SRR4826013	SRS1775661	L3T1	09-Oct-2014	PlotLocation:L3	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943337	contigs sra	ncbi sra-sos	sra-sos.public	SRX2319440	K4T1	2016-11-04	5	3	2016-11-09	SRR4826018	SRS1775662	K4T1	09-Oct-2014	PlotLocation:K4	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943443	contigs sra	ncbi		SRX2319441	E2T4	2016-11-04	7	4	2016-11-09	SRR4826022	SRS1775663	E2T3	20-Oct-2014	Treatment:2-mid	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943335	contigs sra	ncbi		SRX2319442	K2T1	2016-11-04	9	6	2016-11-09	SRR4826025	SRS1775665	K2T1	09-Oct-2014	PlotLocation:K2	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943334	contigs sra	ncbi sra-sos	sra-sos.public	SRX2319443	K1T1	2016-11-04	11	7	2016-11-09	SRR4826030	SRS1775664	K1T1	09-Oct-2014	PlotLocation:K1	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943341	contigs sra	ncbi		SRX2319444	L2T1	2016-11-04	12	7	2016-11-09	SRR4826033	SRS1775666	L2T1	09-Oct-2014	PlotLocation:L2	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943340	contigs sra	ncbi		SRX2319445	L1T1	2016-11-04	11	7	2016-11-09	SRR4826037	SRS1775667	L1T1	09-Oct-2014	PlotLocation:L1	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943339	contigs sra	ncbi		SRX2319446	K6T1	2016-11-04	4	3	2016-11-09	SRR4826042	SRS1775669	K6T1	09-Oct-2014	PlotLocation:K6	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943442	contigs sra	ncbi sra-sos	sra-sos.public	SRX2319447	E1T4	2016-11-04	4	3	2016-11-09	SRR4826046	SRS1775668	E1T3	20-Oct-2014	Treatment:2-low	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943377	contigs sra	ncbi		SRX2319448	F2T3	2016-11-04	2	1	2016-11-09	SRR4826051	SRS1775670	F2T2	15-Oct-2014	Treatment:2-low	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
253	SAMN05943376	contigs sra	ncbi sra-sos	sra-sos.public	SRX2319449	F1T3	2016-11-04	2	1	2016-11-09	SRR4826055	SRS1775671	F1T2	15-Oct-2014	Treatment:6-mid	AMPLICON	PRJNA350672	Metagenome or environmental	UC DAVIS	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	marine sediment metagenome	ILLUMINA	SRP092441	USA:Californai:Bodega Bay	Zostera marina	Soil	38.32 N 123.05 W
