AvgSpotLen	BioSample	BioSampleModel	Cultivar	DATASTORE_provider	DATASTORE_region	Experiment	ID	InsertSize	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Plant	ReleaseDate	Rice_Field	Run	SRA_Sample	Sample_Name	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	Instrument	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study
494	SAMN02928827	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659858		250	PAIRED	FieldRun1	2016-06-09	19	13	1	2014-07-26	Ditaler_18	SRR1523640	SRS664860	JE.Lundberg.3	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928828	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659875		250	PAIRED	FieldRun1	2016-06-09	45	30	2	2014-07-26	Ditaler_18	SRR1523641	SRS664877	JE.Lundberg.4	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928829	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659876		250	PAIRED	FieldRun1	2016-06-09	31	21	2	2014-07-26	Ditaler_18	SRR1523649	SRS664878	JE.Lundberg.5	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928830	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659902		250	PAIRED	FieldRun1	2016-06-09	29	19	2	2014-07-26	Ditaler_18	SRR1524309	SRS664901	JE.Lundberg.6	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928831	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659903		250	PAIRED	FieldRun1	2016-06-09	35	24	3	2014-07-26	Ditaler_18	SRR1524310	SRS664902	JE.Lundberg.7	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928832	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659904		250	PAIRED	FieldRun1	2016-06-09	41	27	3	2014-07-26	Ditaler_18	SRR1524311	SRS664903	JE.Lundberg.8	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928833	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659905		250	PAIRED	FieldRun1	2016-06-09	33	22	3	2014-07-26	Ditaler_18	SRR1524312	SRS664904	JE.Lundberg.9	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
494	SAMN02928835	MIGS/MIMS/MIMARKS.host-associated		sra-sos	sra-sos.public	SRX659907		250	PAIRED	FieldRun1	2016-06-09	31	21	4	2014-07-26	Ditaler_18	SRR1524331	SRS664906	JE.Lundberg.11	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
247	SAMN02928836	MIGS/MIMS/MIMARKS.host-associated		ncbi		SRX659909		250	PAIRED	FieldRun1	2014-07-25	16	11	4	2018-06-23	Ditaler_18	SRR1524332	SRS664907	JE.Lundberg.12	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
490	SAMN02929695	MIGS/MIMS/MIMARKS.host-associated	Soil	sra-sos	sra-sos.public	SRX659896	JE.Soil.1	250	PAIRED	GHRun1	2016-06-09	18	11		2014-07-26		SRR1524333	SRS664894	JE.Soil.1	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	PRJNA255789	UC DAVIS	public	sra	Illumina MiSeq	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745
